jurisdiction,year,ipcc_code,price
Argentina,1989,1A1A1,null
Argentina,1989,1A1B,null
Argentina,1989,1A1C,null
Argentina,1989,1A2A,null
Argentina,1989,1A2M,null
Argentina,1989,1A3A2,null
Argentina,1989,1A3B,null
Argentina,1989,1A3D2,null
Argentina,1989,1A4A,null
Argentina,1989,1A4B,null
Argentina,1989,1A4C1,null
Argentina,1990,1A1A1,null
Argentina,1990,1A1B,null
Argentina,1990,1A1C,null
Argentina,1990,1A2A,null
Argentina,1990,1A2M,null
Argentina,1990,1A3A2,null
Argentina,1990,1A3B,null
Argentina,1990,1A3D2,null
Argentina,1990,1A4A,null
Argentina,1990,1A4B,null
Argentina,1990,1A4C1,null
Argentina,1991,1A1A1,null
Argentina,1991,1A1B,null
Argentina,1991,1A1C,null
Argentina,1991,1A2A,null
Argentina,1991,1A2M,null
Argentina,1991,1A3A2,null
Argentina,1991,1A3B,null
Argentina,1991,1A3D2,null
Argentina,1991,1A4A,null
Argentina,1991,1A4B,null
Argentina,1991,1A4C1,null
Argentina,1992,1A1A1,null
Argentina,1992,1A1B,null
Argentina,1992,1A1C,null
Argentina,1992,1A2A,null
Argentina,1992,1A2M,null
Argentina,1992,1A3A2,null
Argentina,1992,1A3B,null
Argentina,1992,1A3D2,null
Argentina,1992,1A4A,null
Argentina,1992,1A4B,null
Argentina,1992,1A4C1,null
Argentina,1993,1A1A1,null
Argentina,1993,1A1B,null
Argentina,1993,1A1C,null
Argentina,1993,1A2A,null
Argentina,1993,1A2M,null
Argentina,1993,1A3A2,null
Argentina,1993,1A3B,null
Argentina,1993,1A3D2,null
Argentina,1993,1A4A,null
Argentina,1993,1A4B,null
Argentina,1993,1A4C1,null
Argentina,1994,1A1A1,null
Argentina,1994,1A1B,null
Argentina,1994,1A1C,null
Argentina,1994,1A2A,null
Argentina,1994,1A2M,null
Argentina,1994,1A3A2,null
Argentina,1994,1A3B,null
Argentina,1994,1A3D2,null
Argentina,1994,1A4A,null
Argentina,1994,1A4B,null
Argentina,1994,1A4C1,null
Argentina,1995,1A1A1,null
Argentina,1995,1A1B,null
Argentina,1995,1A1C,null
Argentina,1995,1A2A,null
Argentina,1995,1A2M,null
Argentina,1995,1A3A2,null
Argentina,1995,1A3B,null
Argentina,1995,1A3D2,null
Argentina,1995,1A4A,null
Argentina,1995,1A4B,null
Argentina,1995,1A4C1,null
Argentina,1996,1A1A1,null
Argentina,1996,1A1B,null
Argentina,1996,1A1C,null
Argentina,1996,1A2A,null
Argentina,1996,1A2M,null
Argentina,1996,1A3A2,null
Argentina,1996,1A3B,null
Argentina,1996,1A3D2,null
Argentina,1996,1A4A,null
Argentina,1996,1A4B,null
Argentina,1996,1A4C1,null
Argentina,1997,1A1A1,null
Argentina,1997,1A1B,null
Argentina,1997,1A1C,null
Argentina,1997,1A2A,null
Argentina,1997,1A2M,null
Argentina,1997,1A3A2,null
Argentina,1997,1A3B,null
Argentina,1997,1A3D2,null
Argentina,1997,1A4A,null
Argentina,1997,1A4B,null
Argentina,1997,1A4C1,null
Argentina,1998,1A1A1,null
Argentina,1998,1A1B,null
Argentina,1998,1A1C,null
Argentina,1998,1A2A,null
Argentina,1998,1A2M,null
Argentina,1998,1A3A2,null
Argentina,1998,1A3B,null
Argentina,1998,1A3D2,null
Argentina,1998,1A4A,null
Argentina,1998,1A4B,null
Argentina,1998,1A4C1,null
Argentina,1999,1A1A1,null
Argentina,1999,1A1B,null
Argentina,1999,1A1C,null
Argentina,1999,1A2A,null
Argentina,1999,1A2M,null
Argentina,1999,1A3A2,null
Argentina,1999,1A3B,null
Argentina,1999,1A3D2,null
Argentina,1999,1A4A,null
Argentina,1999,1A4B,null
Argentina,1999,1A4C1,null
Argentina,2000,1A1A1,null
Argentina,2000,1A1B,null
Argentina,2000,1A1C,null
Argentina,2000,1A2A,null
Argentina,2000,1A2M,null
Argentina,2000,1A3A2,null
Argentina,2000,1A3B,null
Argentina,2000,1A3D2,null
Argentina,2000,1A4A,null
Argentina,2000,1A4B,null
Argentina,2000,1A4C1,null
Argentina,2001,1A1A1,null
Argentina,2001,1A1B,null
Argentina,2001,1A1C,null
Argentina,2001,1A2A,null
Argentina,2001,1A2M,null
Argentina,2001,1A3A2,null
Argentina,2001,1A3B,null
Argentina,2001,1A3D2,null
Argentina,2001,1A4A,null
Argentina,2001,1A4B,null
Argentina,2001,1A4C1,null
Argentina,2002,1A1A1,null
Argentina,2002,1A1B,null
Argentina,2002,1A1C,null
Argentina,2002,1A2A,null
Argentina,2002,1A2M,null
Argentina,2002,1A3A2,null
Argentina,2002,1A3B,null
Argentina,2002,1A3D2,null
Argentina,2002,1A4A,null
Argentina,2002,1A4B,null
Argentina,2002,1A4C1,null
Argentina,2003,1A1A1,null
Argentina,2003,1A1B,null
Argentina,2003,1A1C,null
Argentina,2003,1A2A,null
Argentina,2003,1A2M,null
Argentina,2003,1A3A2,null
Argentina,2003,1A3B,null
Argentina,2003,1A3D2,null
Argentina,2003,1A4A,null
Argentina,2003,1A4B,null
Argentina,2003,1A4C1,null
Argentina,2004,1A1A1,null
Argentina,2004,1A1B,null
Argentina,2004,1A1C,null
Argentina,2004,1A2A,null
Argentina,2004,1A2M,null
Argentina,2004,1A3A2,null
Argentina,2004,1A3B,null
Argentina,2004,1A3D2,null
Argentina,2004,1A4A,null
Argentina,2004,1A4B,null
Argentina,2004,1A4C1,null
Argentina,2005,1A1A1,null
Argentina,2005,1A1B,null
Argentina,2005,1A1C,null
Argentina,2005,1A2A,null
Argentina,2005,1A2M,null
Argentina,2005,1A3A2,null
Argentina,2005,1A3B,null
Argentina,2005,1A3D2,null
Argentina,2005,1A4A,null
Argentina,2005,1A4B,null
Argentina,2005,1A4C1,null
Argentina,2006,1A1A1,null
Argentina,2006,1A1B,null
Argentina,2006,1A1C,null
Argentina,2006,1A2A,null
Argentina,2006,1A2M,null
Argentina,2006,1A3A2,null
Argentina,2006,1A3B,null
Argentina,2006,1A3D2,null
Argentina,2006,1A4A,null
Argentina,2006,1A4B,null
Argentina,2006,1A4C1,null
Argentina,2007,1A1A1,null
Argentina,2007,1A1B,null
Argentina,2007,1A1C,null
Argentina,2007,1A2A,null
Argentina,2007,1A2M,null
Argentina,2007,1A3A2,null
Argentina,2007,1A3B,null
Argentina,2007,1A3D2,null
Argentina,2007,1A4A,null
Argentina,2007,1A4B,null
Argentina,2007,1A4C1,null
Argentina,2008,1A1A1,null
Argentina,2008,1A1B,null
Argentina,2008,1A1C,null
Argentina,2008,1A2A,null
Argentina,2008,1A2M,null
Argentina,2008,1A3A2,null
Argentina,2008,1A3B,null
Argentina,2008,1A3D2,null
Argentina,2008,1A4A,null
Argentina,2008,1A4B,null
Argentina,2008,1A4C1,null
Argentina,2009,1A1A1,null
Argentina,2009,1A1B,null
Argentina,2009,1A1C,null
Argentina,2009,1A2A,null
Argentina,2009,1A2M,null
Argentina,2009,1A3A2,null
Argentina,2009,1A3B,null
Argentina,2009,1A3D2,null
Argentina,2009,1A4A,null
Argentina,2009,1A4B,null
Argentina,2009,1A4C1,null
Argentina,2010,1A1A1,null
Argentina,2010,1A1B,null
Argentina,2010,1A1C,null
Argentina,2010,1A2A,null
Argentina,2010,1A2M,null
Argentina,2010,1A3A2,null
Argentina,2010,1A3B,null
Argentina,2010,1A3D2,null
Argentina,2010,1A4A,null
Argentina,2010,1A4B,null
Argentina,2010,1A4C1,null
Argentina,2011,1A1A1,null
Argentina,2011,1A1B,null
Argentina,2011,1A1C,null
Argentina,2011,1A2A,null
Argentina,2011,1A2M,null
Argentina,2011,1A3A2,null
Argentina,2011,1A3B,null
Argentina,2011,1A3D2,null
Argentina,2011,1A4A,null
Argentina,2011,1A4B,null
Argentina,2011,1A4C1,null
Argentina,2012,1A1A1,null
Argentina,2012,1A1B,null
Argentina,2012,1A1C,null
Argentina,2012,1A2A,null
Argentina,2012,1A2M,null
Argentina,2012,1A3A2,null
Argentina,2012,1A3B,null
Argentina,2012,1A3D2,null
Argentina,2012,1A4A,null
Argentina,2012,1A4B,null
Argentina,2012,1A4C1,null
Argentina,2013,1A1A1,null
Argentina,2013,1A1B,null
Argentina,2013,1A1C,null
Argentina,2013,1A2A,null
Argentina,2013,1A2M,null
Argentina,2013,1A3A2,null
Argentina,2013,1A3B,null
Argentina,2013,1A3D2,null
Argentina,2013,1A4A,null
Argentina,2013,1A4B,null
Argentina,2013,1A4C1,null
Argentina,2014,1A1A1,null
Argentina,2014,1A1B,null
Argentina,2014,1A1C,null
Argentina,2014,1A2A,null
Argentina,2014,1A2M,null
Argentina,2014,1A3A2,null
Argentina,2014,1A3B,null
Argentina,2014,1A3D2,null
Argentina,2014,1A4A,null
Argentina,2014,1A4B,null
Argentina,2014,1A4C1,null
Argentina,2015,1A1A1,null
Argentina,2015,1A1B,null
Argentina,2015,1A1C,null
Argentina,2015,1A2A,null
Argentina,2015,1A2M,null
Argentina,2015,1A3A2,null
Argentina,2015,1A3B,null
Argentina,2015,1A3D2,null
Argentina,2015,1A4A,null
Argentina,2015,1A4B,null
Argentina,2015,1A4C1,null
Argentina,2016,1A1A1,null
Argentina,2016,1A1B,null
Argentina,2016,1A1C,null
Argentina,2016,1A2A,null
Argentina,2016,1A2M,null
Argentina,2016,1A3A2,null
Argentina,2016,1A3B,null
Argentina,2016,1A3D2,null
Argentina,2016,1A4A,null
Argentina,2016,1A4B,null
Argentina,2016,1A4C1,null
Argentina,2017,1A1A1,null
Argentina,2017,1A1B,null
Argentina,2017,1A1C,null
Argentina,2017,1A2A,null
Argentina,2017,1A2M,null
Argentina,2017,1A3A2,null
Argentina,2017,1A3B,null
Argentina,2017,1A3D2,null
Argentina,2017,1A4A,null
Argentina,2017,1A4B,null
Argentina,2017,1A4C1,null
Argentina,2018,1A1A1,1.50351505799696
Argentina,2018,1A1B,4.05427149239438
