jurisdiction,year,ipcc_code,price
Austria,1989,1A1A1,null
Austria,1989,1A1A2,null
Austria,1989,1A1A3,null
Austria,1989,1A1B,null
Austria,1989,1A1C,null
Austria,1989,1A2A,null
Austria,1989,1A2B,null
Austria,1989,1A2C,null
Austria,1989,1A2D,null
Austria,1989,1A2E,null
Austria,1989,1A2F,null
Austria,1989,1A2G,null
Austria,1989,1A2H,null
Austria,1989,1A2I,null
Austria,1989,1A2J,null
Austria,1989,1A2K,null
Austria,1989,1A2L,null
Austria,1989,1A2M,null
Austria,1989,1A3A2,null
Austria,1989,1C1A,null
Austria,1989,1C2B,null
Austria,1989,2A1,null
Austria,1989,2A2,null
Austria,1989,2A3,null
Austria,1989,2A4A,null
Austria,1989,2B1,null
Austria,1989,2B2,null
Austria,1989,2B3,null
Austria,1989,2B4,null
Austria,1989,2B5,null
Austria,1989,2B6,null
Austria,1989,2B7,null
Austria,1989,2B8F,null
Austria,1989,2C1,null
Austria,1989,2C2,null
Austria,1989,2C3,null
Austria,1989,2C4,null
Austria,1989,2C5,null
Austria,1989,2C6,null
Austria,1989,2H1,null
Austria,1990,1A1A1,null
Austria,1990,1A1A2,null
Austria,1990,1A1A3,null
Austria,1990,1A1B,null
Austria,1990,1A1C,null
Austria,1990,1A2A,null
Austria,1990,1A2B,null
Austria,1990,1A2C,null
Austria,1990,1A2D,null
Austria,1990,1A2E,null
Austria,1990,1A2F,null
Austria,1990,1A2G,null
Austria,1990,1A2H,null
Austria,1990,1A2I,null
Austria,1990,1A2J,null
Austria,1990,1A2K,null
Austria,1990,1A2L,null
Austria,1990,1A2M,null
Austria,1990,1A3A2,null
Austria,1990,1C1A,null
Austria,1990,1C2B,null
Austria,1990,2A1,null
Austria,1990,2A2,null
Austria,1990,2A3,null
Austria,1990,2A4A,null
Austria,1990,2B1,null
Austria,1990,2B2,null
Austria,1990,2B3,null
Austria,1990,2B4,null
Austria,1990,2B5,null
Austria,1990,2B6,null
Austria,1990,2B7,null
Austria,1990,2B8F,null
Austria,1990,2C1,null
Austria,1990,2C2,null
Austria,1990,2C3,null
Austria,1990,2C4,null
Austria,1990,2C5,null
Austria,1990,2C6,null
Austria,1990,2H1,null
Austria,1991,1A1A1,null
Austria,1991,1A1A2,null
Austria,1991,1A1A3,null
Austria,1991,1A1B,null
Austria,1991,1A1C,null
Austria,1991,1A2A,null
Austria,1991,1A2B,null
Austria,1991,1A2C,null
Austria,1991,1A2D,null
Austria,1991,1A2E,null
Austria,1991,1A2F,null
Austria,1991,1A2G,null
Austria,1991,1A2H,null
Austria,1991,1A2I,null
Austria,1991,1A2J,null
Austria,1991,1A2K,null
Austria,1991,1A2L,null
Austria,1991,1A2M,null
Austria,1991,1A3A2,null
Austria,1991,1C1A,null
Austria,1991,1C2B,null
Austria,1991,2A1,null
Austria,1991,2A2,null
Austria,1991,2A3,null
Austria,1991,2A4A,null
Austria,1991,2B1,null
Austria,1991,2B2,null
Austria,1991,2B3,null
Austria,1991,2B4,null
Austria,1991,2B5,null
Austria,1991,2B6,null
Austria,1991,2B7,null
Austria,1991,2B8F,null
Austria,1991,2C1,null
Austria,1991,2C2,null
Austria,1991,2C3,null
Austria,1991,2C4,null
Austria,1991,2C5,null
Austria,1991,2C6,null
Austria,1991,2H1,null
Austria,1992,1A1A1,null
Austria,1992,1A1A2,null
Austria,1992,1A1A3,null
Austria,1992,1A1B,null
Austria,1992,1A1C,null
Austria,1992,1A2A,null
Austria,1992,1A2B,null
Austria,1992,1A2C,null
Austria,1992,1A2D,null
Austria,1992,1A2E,null
Austria,1992,1A2F,null
Austria,1992,1A2G,null
Austria,1992,1A2H,null
Austria,1992,1A2I,null
Austria,1992,1A2J,null
Austria,1992,1A2K,null
Austria,1992,1A2L,null
Austria,1992,1A2M,null
Austria,1992,1A3A2,null
Austria,1992,1C1A,null
Austria,1992,1C2B,null
Austria,1992,2A1,null
Austria,1992,2A2,null
Austria,1992,2A3,null
Austria,1992,2A4A,null
Austria,1992,2B1,null
Austria,1992,2B2,null
Austria,1992,2B3,null
Austria,1992,2B4,null
Austria,1992,2B5,null
Austria,1992,2B6,null
Austria,1992,2B7,null
Austria,1992,2B8F,null
Austria,1992,2C1,null
Austria,1992,2C2,null
Austria,1992,2C3,null
Austria,1992,2C4,null
Austria,1992,2C5,null
Austria,1992,2C6,null
Austria,1992,2H1,null
Austria,1993,1A1A1,null
Austria,1993,1A1A2,null
Austria,1993,1A1A3,null
Austria,1993,1A1B,null
Austria,1993,1A1C,null
Austria,1993,1A2A,null
Austria,1993,1A2B,null
Austria,1993,1A2C,null
Austria,1993,1A2D,null
Austria,1993,1A2E,null
Austria,1993,1A2F,null
Austria,1993,1A2G,null
Austria,1993,1A2H,null
Austria,1993,1A2I,null
Austria,1993,1A2J,null
Austria,1993,1A2K,null
Austria,1993,1A2L,null
Austria,1993,1A2M,null
Austria,1993,1A3A2,null
Austria,1993,1C1A,null
Austria,1993,1C2B,null
Austria,1993,2A1,null
Austria,1993,2A2,null
Austria,1993,2A3,null
Austria,1993,2A4A,null
Austria,1993,2B1,null
Austria,1993,2B2,null
Austria,1993,2B3,null
Austria,1993,2B4,null
Austria,1993,2B5,null
Austria,1993,2B6,null
Austria,1993,2B7,null
Austria,1993,2B8F,null
Austria,1993,2C1,null
Austria,1993,2C2,null
Austria,1993,2C3,null
Austria,1993,2C4,null
Austria,1993,2C5,null
Austria,1993,2C6,null
Austria,1993,2H1,null
Austria,1994,1A1A1,null
Austria,1994,1A1A2,null
Austria,1994,1A1A3,null
Austria,1994,1A1B,null
Austria,1994,1A1C,null
Austria,1994,1A2A,null
Austria,1994,1A2B,null
Austria,1994,1A2C,null
Austria,1994,1A2D,null
Austria,1994,1A2E,null
Austria,1994,1A2F,null
Austria,1994,1A2G,null
Austria,1994,1A2H,null
Austria,1994,1A2I,null
Austria,1994,1A2J,null
Austria,1994,1A2K,null
Austria,1994,1A2L,null
Austria,1994,1A2M,null
Austria,1994,1A3A2,null
Austria,1994,1C1A,null
Austria,1994,1C2B,null
Austria,1994,2A1,null
Austria,1994,2A2,null
Austria,1994,2A3,null
Austria,1994,2A4A,null
Austria,1994,2B1,null
Austria,1994,2B2,null
Austria,1994,2B3,null
Austria,1994,2B4,null
Austria,1994,2B5,null
Austria,1994,2B6,null
Austria,1994,2B7,null
Austria,1994,2B8F,null
Austria,1994,2C1,null
Austria,1994,2C2,null
Austria,1994,2C3,null
Austria,1994,2C4,null
Austria,1994,2C5,null
Austria,1994,2C6,null
Austria,1994,2H1,null
Austria,1995,1A1A1,null
Austria,1995,1A1A2,null
Austria,1995,1A1A3,null
Austria,1995,1A1B,null
Austria,1995,1A1C,null
Austria,1995,1A2A,null
Austria,1995,1A2B,null
Austria,1995,1A2C,null
Austria,1995,1A2D,null
Austria,1995,1A2E,null
Austria,1995,1A2F,null
Austria,1995,1A2G,null
Austria,1995,1A2H,null
Austria,1995,1A2I,null
Austria,1995,1A2J,null
Austria,1995,1A2K,null
Austria,1995,1A2L,null
Austria,1995,1A2M,null
Austria,1995,1A3A2,null
Austria,1995,1C1A,null
Austria,1995,1C2B,null
Austria,1995,2A1,null
Austria,1995,2A2,null
Austria,1995,2A3,null
Austria,1995,2A4A,null
Austria,1995,2B1,null
Austria,1995,2B2,null
Austria,1995,2B3,null
Austria,1995,2B4,null
Austria,1995,2B5,null
Austria,1995,2B6,null
Austria,1995,2B7,null
Austria,1995,2B8F,null
Austria,1995,2C1,null
Austria,1995,2C2,null
Austria,1995,2C3,null
Austria,1995,2C4,null
Austria,1995,2C5,null
Austria,1995,2C6,null
Austria,1995,2H1,null
Austria,1996,1A1A1,null
Austria,1996,1A1A2,null
Austria,1996,1A1A3,null
Austria,1996,1A1B,null
Austria,1996,1A1C,null
Austria,1996,1A2A,null
Austria,1996,1A2B,null
Austria,1996,1A2C,null
Austria,1996,1A2D,null
Austria,1996,1A2E,null
Austria,1996,1A2F,null
Austria,1996,1A2G,null
Austria,1996,1A2H,null
Austria,1996,1A2I,null
Austria,1996,1A2J,null
Austria,1996,1A2K,null
Austria,1996,1A2L,null
Austria,1996,1A2M,null
Austria,1996,1A3A2,null
Austria,1996,1C1A,null
Austria,1996,1C2B,null
Austria,1996,2A1,null
Austria,1996,2A2,null
Austria,1996,2A3,null
Austria,1996,2A4A,null
Austria,1996,2B1,null
Austria,1996,2B2,null
Austria,1996,2B3,null
Austria,1996,2B4,null
Austria,1996,2B5,null
Austria,1996,2B6,null
Austria,1996,2B7,null
Austria,1996,2B8F,null
Austria,1996,2C1,null
Austria,1996,2C2,null
Austria,1996,2C3,null
Austria,1996,2C4,null
Austria,1996,2C5,null
Austria,1996,2C6,null
Austria,1996,2H1,null
Austria,1997,1A1A1,null
Austria,1997,1A1A2,null
Austria,1997,1A1A3,null
Austria,1997,1A1B,null
Austria,1997,1A1C,null
Austria,1997,1A2A,null
Austria,1997,1A2B,null
Austria,1997,1A2C,null
Austria,1997,1A2D,null
Austria,1997,1A2E,null
Austria,1997,1A2F,null
Austria,1997,1A2G,null
Austria,1997,1A2H,null
Austria,1997,1A2I,null
Austria,1997,1A2J,null
Austria,1997,1A2K,null
Austria,1997,1A2L,null
Austria,1997,1A2M,null
Austria,1997,1A3A2,null
Austria,1997,1C1A,null
Austria,1997,1C2B,null
Austria,1997,2A1,null
Austria,1997,2A2,null
Austria,1997,2A3,null
Austria,1997,2A4A,null
Austria,1997,2B1,null
Austria,1997,2B2,null
Austria,1997,2B3,null
Austria,1997,2B4,null
Austria,1997,2B5,null
Austria,1997,2B6,null
Austria,1997,2B7,null
Austria,1997,2B8F,null
Austria,1997,2C1,null
Austria,1997,2C2,null
Austria,1997,2C3,null
Austria,1997,2C4,null
Austria,1997,2C5,null
Austria,1997,2C6,null
Austria,1997,2H1,null
Austria,1998,1A1A1,null
Austria,1998,1A1A2,null
Austria,1998,1A1A3,null
Austria,1998,1A1B,null
Austria,1998,1A1C,null
Austria,1998,1A2A,null
Austria,1998,1A2B,null
Austria,1998,1A2C,null
Austria,1998,1A2D,null
Austria,1998,1A2E,null
Austria,1998,1A2F,null
Austria,1998,1A2G,null
Austria,1998,1A2H,null
Austria,1998,1A2I,null
Austria,1998,1A2J,null
Austria,1998,1A2K,null
Austria,1998,1A2L,null
Austria,1998,1A2M,null
Austria,1998,1A3A2,null
Austria,1998,1C1A,null
Austria,1998,1C2B,null
Austria,1998,2A1,null
Austria,1998,2A2,null
Austria,1998,2A3,null
Austria,1998,2A4A,null
Austria,1998,2B1,null
Austria,1998,2B2,null
Austria,1998,2B3,null
Austria,1998,2B4,null
Austria,1998,2B5,null
Austria,1998,2B6,null
Austria,1998,2B7,null
Austria,1998,2B8F,null
Austria,1998,2C1,null
Austria,1998,2C2,null
Austria,1998,2C3,null
Austria,1998,2C4,null
Austria,1998,2C5,null
Austria,1998,2C6,null
Austria,1998,2H1,null
Austria,1999,1A1A1,null
Austria,1999,1A1A2,null
Austria,1999,1A1A3,null
Austria,1999,1A1B,null
Austria,1999,1A1C,null
Austria,1999,1A2A,null
Austria,1999,1A2B,null
Austria,1999,1A2C,null
Austria,1999,1A2D,null
Austria,1999,1A2E,null
Austria,1999,1A2F,null
Austria,1999,1A2G,null
Austria,1999,1A2H,null
Austria,1999,1A2I,null
Austria,1999,1A2J,null
Austria,1999,1A2K,null
Austria,1999,1A2L,null
Austria,1999,1A2M,null
Austria,1999,1A3A2,null
Austria,1999,1C1A,null
Austria,1999,1C2B,null
Austria,1999,2A1,null
Austria,1999,2A2,null
Austria,1999,2A3,null
Austria,1999,2A4A,null
Austria,1999,2B1,null
Austria,1999,2B2,null
Austria,1999,2B3,null
Austria,1999,2B4,null
Austria,1999,2B5,null
Austria,1999,2B6,null
Austria,1999,2B7,null
Austria,1999,2B8F,null
Austria,1999,2C1,null
Austria,1999,2C2,null
Austria,1999,2C3,null
Austria,1999,2C4,null
Austria,1999,2C5,null
Austria,1999,2C6,null
Austria,1999,2H1,null
Austria,2000,1A1A1,null
Austria,2000,1A1A2,null
Austria,2000,1A1A3,null
Austria,2000,1A1B,null
Austria,2000,1A1C,null
Austria,2000,1A2A,null
Austria,2000,1A2B,null
Austria,2000,1A2C,null
Austria,2000,1A2D,null
Austria,2000,1A2E,null
Austria,2000,1A2F,null
